area,disruption,greatest_sector,totaldisrupt,dis,totalEmployed
26620,0.7140795381654907,"Postal service mail sorters, processors, and processing machine operators",,155855.0,218260.0
37860,0.6224922909486668,"Postal service mail sorters, processors, and processing machine operators",,102954.0,165390.0
32900,1.1831121281464532,Postal service clerks,,77553.0,65550.0
12540,1.7573454397061825,"Postal service mail sorters, processors, and processing machine operators",,516765.0,294060.0
4800006,0.5828633553033906,"Switchboard operators, including answering service",,85780.0,147170.0
2900004,0.756210410355274,"Switchboard operators, including answering service",,54916.0,72620.0
1600003,0.6416329724794574,Postal service clerks,,49194.0,76670.0
27180,0.6888035126234907,"Switchboard operators, including answering service",,43925.0,63770.0
5100001,1.0454821685590916,"Switchboard operators, including answering service",,130748.0,125060.0
1300003,0.7980810488676996,"Switchboard operators, including answering service",,66959.0,83900.0
10380,0.596930126002291,Word processors and typists,,26056.0,43650.0
44300,0.3764551038315297,Postal service clerks,,25742.0,68380.0
27980,0.5154068169323804,"Switchboard operators, including answering service",,37501.0,72760.0
21300,0.531669439822518,"Switchboard operators, including answering service",,19172.0,36060.0
4900001,0.23155177649559672,Postal service clerks,,7625.0,32930.0
16580,0.6373073389813209,"Postal service mail sorters, processors, and processing machine operators",,62437.0,97970.0
4100002,0.5721825520024837,Postal service clerks,,36860.0,64420.0
15804,0.7581629102717748,"Postal service mail sorters, processors, and processing machine operators",,392228.0,517340.0
31740,0.4869381279746166,Postal service mail carriers,,18416.0,37820.0
23060,1.085100259495164,"Postal service mail sorters, processors, and processing machine operators",,229987.0,211950.0
10420,1.016258324677705,"Postal service mail sorters, processors, and processing machine operators",,332662.0,327340.0
43100,1.5714212939378502,"Switchboard operators, including answering service",,92541.0,58890.0
10500,0.42874806800618237,"Switchboard operators, including answering service",,24966.0,58230.0
0100003,0.9143258426966292,Sewing machine operators,,61845.0,67640.0
17980,0.6227333511634127,"Switchboard operators, including answering service",,69852.0,112170.0
45104,0.6351536791990479,"Postal service mail sorters, processors, and processing machine operators",,181438.0,285660.0
4100003,0.5714950853595447,"Switchboard operators, including answering service",,33141.0,57990.0
3800004,0.5950459448661606,Postal service clerks,,14894.0,25030.0
2400002,0.32079021636876764,Postal service mail carriers,,3410.0,10630.0
74500,0.7510370961308337,"Switchboard operators, including answering service",,37657.0,50140.0
49660,1.0283606179386673,"Postal service mail sorters, processors, and processing machine operators",,223000.0,216850.0
43900,1.1440903334740398,"Switchboard operators, including answering service",,162621.0,142140.0
74950,0.7149421128798842,"Postal service mail sorters, processors, and processing machine operators",,79044.0,110560.0
41060,0.7437798809639965,"Postal service mail sorters, processors, and processing machine operators",,76230.0,102490.0
17300,0.7383705805841315,"Switchboard operators, including answering service",,62444.0,84570.0
2100004,0.5895014662756598,"Switchboard operators, including answering service",,60306.0,102300.0
39740,0.8641128563118092,"Switchboard operators, including answering service",,148541.0,171900.0
44420,0.6919304129113394,Postal service clerks,,33012.0,47710.0
2100003,0.8490966178252727,"Switchboard operators, including answering service",,154145.0,181540.0
2500001,0.4089182968929804,Postal service clerks,,7107.0,17380.0
30700,0.7993208925412315,"Postal service mail sorters, processors, and processing machine operators",,140065.0,175230.0
23104,0.7968376826669115,"Postal service mail sorters, processors, and processing machine operators",,781387.0,980610.0
5300001,0.44409575538121104,"Switchboard operators, including answering service",,22076.0,49710.0
74204,0.5423216748150934,"Switchboard operators, including answering service",,43261.0,79770.0
